"","Zip Code","Total","Information","Professional","Percent"
"240",90846,2059,NA,NA,NA
"241",90853,0,NA,NA,NA
"242",91001,4909,70,567,0.129761662253005
"243",91003,74,NA,NA,NA
"244",91006,14180,137,788,0.0652327221438646
"245",91007,12525,0,333,0.0265868263473054
"246",91008,42,0,NA,NA
"247",91009,4,NA,NA,NA
"248",91010,14865,24,162,0.0125126135216953
"249",91011,5669,84,235,0.0562709472570118
"250",91012,57,NA,0,NA
"251",91016,18795,263,2244,0.133386538973131
"252",91017,61,NA,0,NA
"253",91020,2736,0,236,0.0862573099415205
"254",91021,144,NA,2,NA
"255",91024,2388,21,96,0.0489949748743719
"256",91025,19,NA,0,NA
"257",91030,7113,77,801,0.123435962322508
"258",91031,32,NA,0,NA
"259",91040,3273,29,177,0.0629391995111518
"260",91041,48,NA,NA,NA
"261",91042,4815,0,95,0.019730010384216
"262",91043,0,NA,NA,NA
"263",91046,57,NA,NA,NA
"264",91066,148,NA,0,NA
"265",91077,0,NA,0,NA
"266",91101,21925,793,3398,0.19115165336374
"267",91102,130,NA,0,NA
"268",91103,10071,641,1096,0.172475424486148
"269",91104,5297,36,308,0.0649424202378705
"270",91105,17752,690,1511,0.123986029743128
"271",91106,8742,61,998,0.121139327385038
"272",91107,19091,59,1700,0.0921376564873501
"273",91108,3312,0,331,0.09993961352657
"274",91109,8586,0,0,0
"275",91114,8,NA,NA,NA
"276",91115,4,NA,0,NA
"277",91116,84,NA,NA,NA
"278",91117,0,NA,NA,NA
"279",91118,8,NA,0,NA
"280",91125,79,NA,0,NA
"281",91201,14584,427,361,0.0540318156884257
"282",91202,6610,44,559,0.0912254160363086
"283",91203,22970,393,4648,0.219460165433174
"284",91204,13668,190,678,0.0635059994146912
"285",91205,11726,190,388,0.0492921712433908
"286",91206,13730,60,716,0.0565185724690459
"287",91207,1781,27,116,0.0802919708029197
"288",91208,4362,59,322,0.0873452544704264
"289",91209,606,NA,0,NA
"290",91210,5310,71,159,0.0433145009416196
"291",91214,5573,22,375,0.0712363179616006
"292",91221,100,0,0,0
"293",91222,19,NA,0,NA
"294",91224,0,NA,NA,NA
"295",91225,0,NA,NA,NA
"296",91226,12,NA,0,NA
"297",91301,13644,372,2387,0.202213427147464
"298",91302,17990,483,1863,0.130405780989439
"299",91303,12967,128,532,0.0508984344875453
"300",91304,13974,116,344,0.032918276799771
"301",91305,129,0,0,0
"302",91306,5686,12,111,0.0216320787900106
"303",91307,7450,133,286,0.056241610738255
"304",91308,24,NA,0,NA
"305",91309,31,NA,NA,NA
"306",91310,222,NA,NA,NA
"307",91311,37215,924,1984,0.0781405347306194
"308",91313,377,NA,0,NA
"309",91316,9842,164,1065,0.124872993294046
"310",91321,8378,135,313,0.0534733826688947
"311",91322,186,0,0,0
"312",91324,18505,215,958,0.0633882734396109
"313",91325,10401,31,192,0.0214402461301798
"314",91326,5071,69,271,0.0670479195424965
"315",91327,8,NA,0,NA
"316",91328,1953,NA,0,NA
"317",91330,5671,NA,NA,NA
"318",91331,14987,77,266,0.0228865016347501
"319",91333,0,NA,NA,NA
"320",91334,18,NA,NA,NA
"321",91335,13696,60,297,0.0260660046728972
"322",91337,13,NA,0,NA
"323",91340,14748,170,342,0.0347165717385408
"324",91341,97,NA,NA,NA
"325",91342,23746,54,533,0.0247199528341615
"326",91343,10006,39,159,0.0197881271237258
"327",91344,11860,26,501,0.0444350758853288
"328",91345,6551,0,210,0.0320561746298275
"329",91346,2509,NA,NA,NA
"330",91350,10807,94,414,0.0470065698158601
"331",91351,7740,98,191,0.0373385012919897
"332",91352,20162,270,439,0.035165162186291
"333",91353,180,NA,0,NA
"334",91354,2483,86,322,0.164317358034636
"335",91355,50423,423,3100,0.0698689090296095
"336",91356,12743,214,824,0.081456485913835
"337",91357,16,0,0,0
"338",91361,15157,288,2620,0.191858547205911
"339",91362,20279,215,1777,0.0982296957443661
"340",91364,17541,500,1954,0.139900803831024
"341",91365,168,NA,0,NA
"342",91367,42082,1095,5657,0.160448647877953
"343",91372,87,3,0,0.0344827586206897
"344",91376,99,0,5,0.0505050505050505
"345",91380,218,0,0,0
"346",91381,4641,24,215,0.0514975220857574
"347",91383,0,NA,NA,NA
"348",91384,2489,20,147,0.0670952189634391
"349",91385,0,NA,NA,NA
"350",91386,30,0,0,0
"351",91387,3796,31,164,0.0513698630136986
"352",91390,1537,24,84,0.070266753415745
"353",91392,196,NA,NA,NA
"354",91393,85,NA,NA,NA
"355",91394,11,NA,NA,NA
"356",91395,3,NA,0,NA
"357",91401,10164,74,300,0.0367965367965368
"358",91402,15295,67,119,0.0121608368747957
"359",91403,15039,878,2199,0.204601369771926
"360",91404,29,NA,0,NA
"361",91405,16293,755,210,0.0592278892776039
"362",91406,27722,642,1292,0.0697640862852608
"363",91407,0,0,NA,NA
"364",91408,9,NA,0,NA
"365",91409,398,NA,0,NA
"366",91410,0,0,NA,NA
"367",91411,10048,515,928,0.143610668789809
"368",91412,91,NA,0,NA
"369",91413,138,NA,10,NA
"370",91416,13,0,0,0
"371",91423,12272,259,1069,0.108213820078227
